date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:26	106737/106737	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:25%20GMT	https://portotheme.com/html/porto_ecommerce/category-5col.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/category-5col.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:26	106702/106702	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:26%20GMT	https://portotheme.com/html/porto_ecommerce/category-6col.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/category-6col.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:26	99691/99691	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:26%20GMT	https://portotheme.com/html/porto_ecommerce/category-7col.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/category-7col.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:27	99698/99698	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:26%20GMT	https://portotheme.com/html/porto_ecommerce/category-8col.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/category-8col.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:27	13052/13052	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2004:48:54%20GMT	https://portotheme.com/html/porto_ecommerce/assets/images/menu-banner.jpg	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/assets/images/menu-banner.jpg	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:27	109774/109774	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:27%20GMT	https://portotheme.com/html/porto_ecommerce/product-variable.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/product-variable.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:27	105166/105166	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:27%20GMT	https://portotheme.com/html/porto_ecommerce/product-custom-tab.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/product-custom-tab.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:28	132087/132087	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:27%20GMT	https://portotheme.com/html/porto_ecommerce/product-sidebar-left.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/product-sidebar-left.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:28	127162/127162	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:27%20GMT	https://portotheme.com/html/porto_ecommerce/product-sidebar-right.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/product-sidebar-right.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
09:10:28	112571/112571	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2002:10:28%20GMT	https://portotheme.com/html/porto_ecommerce/product-addcart-sticky.html	D:/SP24/EXE101/Coli-FrontEnd/Coli-FrontEnd/portotheme.com/html/porto_ecommerce/product-addcart-sticky.html	(from https://portotheme.com/html/porto_ecommerce/demo23.html)
